Wavelength (nm),Intensity (a.u.),Z Axis,
,eem_perm_10min_unito_dial_EX_250.00,eem_perm_10min_unito_dial_EX_260.00,eem_perm_10min_unito_dial_EX_270.00,eem_perm_10min_unito_dial_EX_280.00,eem_perm_10min_unito_dial_EX_290.00,eem_perm_10min_unito_dial_EX_300.00,eem_perm_10min_unito_dial_EX_310.00,eem_perm_10min_unito_dial_EX_320.00,eem_perm_10min_unito_dial_EX_330.00,eem_perm_10min_unito_dial_EX_340.00,eem_perm_10min_unito_dial_EX_350.00,eem_perm_10min_unito_dial_EX_360.00,eem_perm_10min_unito_dial_EX_370.00,eem_perm_10min_unito_dial_EX_380.00,eem_perm_10min_unito_dial_EX_390.00,eem_perm_10min_unito_dial_EX_400.00,eem_perm_10min_unito_dial_EX_410.00,eem_perm_10min_unito_dial_EX_420.00,eem_perm_10min_unito_dial_EX_430.00,eem_perm_10min_unito_dial_EX_440.00,eem_perm_10min_unito_dial_EX_450.00,eem_perm_10min_unito_dial_EX_460.00,eem_perm_10min_unito_dial_EX_470.00,eem_perm_10min_unito_dial_EX_480.00,eem_perm_10min_unito_dial_EX_490.00,eem_perm_10min_unito_dial_EX_500.00,eem_perm_10min_unito_dial_ext_EX_250.00,eem_perm_10min_unito_dial_ext_EX_260.00,eem_perm_10min_unito_dial_ext_EX_270.00,eem_perm_10min_unito_dial_ext_EX_280.00,eem_perm_10min_unito_dial_ext_EX_290.00,eem_perm_10min_unito_dial_ext_EX_300.00,eem_perm_10min_unito_dial_ext_EX_310.00,eem_perm_10min_unito_dial_ext_EX_320.00,eem_perm_10min_unito_dial_ext_EX_330.00,eem_perm_10min_unito_dial_ext_EX_340.00,eem_perm_10min_unito_dial_ext_EX_350.00,eem_perm_10min_unito_dial_ext_EX_360.00,eem_perm_10min_unito_dial_ext_EX_370.00,eem_perm_10min_unito_dial_ext_EX_380.00,eem_perm_10min_unito_dial_ext_EX_390.00,eem_perm_10min_unito_dial_ext_EX_400.00,eem_perm_10min_unito_dial_ext_EX_410.00,eem_perm_10min_unito_dial_ext_EX_420.00,eem_perm_10min_unito_dial_ext_EX_430.00,eem_perm_10min_unito_dial_ext_EX_440.00,eem_perm_10min_unito_dial_ext_EX_450.00,eem_perm_10min_unito_dial_ext_EX_460.00,eem_perm_10min_unito_dial_ext_EX_470.00,eem_perm_10min_unito_dial_ext_EX_480.00,eem_perm_10min_unito_dial_ext_EX_490.00,eem_perm_10min_unito_dial_ext_EX_500.00,eem_perm_10min_unito_dial_ext_EX_510.00,eem_perm_10min_unito_dial_ext_EX_520.00,eem_perm_10min_unito_dial_ext_EX_530.00,eem_perm_10min_unito_dial_ext_EX_540.00,eem_perm_10min_unito_dial_ext_EX_550.00,eem_perm_10min_unito_dial_ext_EX_560.00,eem_perm_10min_unito_dial_ext_EX_570.00,eem_perm_10min_unito_dial_ext_EX_580.00,eem_perm_10min_unito_dial_ext_EX_590.00,eem_perm_10min_unito_dial_ext_EX_600.00
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
265,8.16802787780762,341.048126220703,330.848236083984,12.1786193847656,3.18941593170166,2.67662978172302,1.97199749946594,1.02014791965485,1.91204583644867,0.990099012851715,2.19683647155762,1.34434413909912,1.59394299983978,1.16453170776367,1.49466681480408,1.23724091053009,0.959411561489105,0.828594624996185,0.955574154853821,0.979555785655975,0.735979557037353,0.669865131378174,0.436575293540955,0.478631108999252,0.515929281711578,0.467617511749268,10.0144090652466,326.662048339844,333.599609375,11.3739080429077,3.39598345756531,2.38663482666016,2.00595307350159,1.78978192806244,1.18634009361267,1.76678442955017,1.11895942687988,1.70185363292694,1.33274102210999,1.37185621261597,1.23696184158325,1.0829998254776,0.871910810470581,0.909976184368134,1.03497564792633,1.15000247955322,0.677430331707001,0.777604997158051,0.602893888950348,0.562687575817108,0.552073538303375,0.492610841989517,0.651142597198486,1.51100468635559,1.23410308361053,0.508634090423584,0.475002974271774,0.329996705055237,0.525885283946991,0.571796119213104,0.546106994152069,0.484429061412811
267.029998779297,6.15519905090332,232.687850952148,439.311096191406,27.7995014190674,3.31974387168884,2.92129683494568,1.71255433559418,1.8413257598877,1.67658650875092,1.85036206245422,1.13066220283508,1.52822721004486,1.67586743831635,1.2755663394928,1.17092204093933,1.05916178226471,1.05359852313995,0.938384652137756,0.993525505065918,1.05067479610443,0.685379087924957,0.619623839855194,0.849287867546082,0.751696407794952,0.666148543357849,0.400091469287872,6.70173692703247,215.001907348633,434.209045410156,30.9753322601318,3.88059687614441,2.36633038520813,2.84593963623047,2.08733415603638,1.32934522628784,1.44034564495087,1.55555546283722,1.35349571704864,1.37863123416901,1.29172897338867,1.08049702644348,0.998698651790619,0.949843049049377,1.00027871131897,0.99008297920227,0.789240002632141,0.689666271209717,0.593625962734222,0.794300258159638,0.67846667766571,0.617596745491028,0.465170353651047,0.559771120548248,1.16601073741913,1.05676960945129,0.657179713249207,0.276090562343597,0.552272617816925,-0.0580315664410591,0.773286461830139,0.234064131975174,0.770362079143524
269.059997558594,5.47285461425781,113.102058410645,527.592407226562,87.287109375,3.8420250415802,3.28489518165588,3.03071141242981,1.70648455619812,1.93912827968597,1.61017632484436,2.10939764976501,1.50660955905914,1.37104558944702,1.34770882129669,1.4816278219223,1.2061607837677,1.07020545005798,0.878089308738708,1.07647812366486,0.890226900577545,0.875060796737671,1.02228951454163,0.815328180789948,0.690012037754059,0.580437660217285,0.509813904762268,5.96221542358398,114.616325378418,513.927917480469,88.58447265625,3.53152322769165,2.43861889839172,2.23595952987671,1.37008380889893,1.32264196872711,2.64821457862854,2.04933595657349,1.22393262386322,1.27500987052917,1.39906179904938,0.888070285320282,0.940248727798462,1.43504321575165,1.07050013542175,0.9052454829216,0.899780750274658,0.721098661422729,0.691248476505279,0.977349936962128,0.325156986713409,0.636760115623474,0.695148408412933,0.79953944683075,1.29750299453735,0.96711802482605,0.543948531150818,0.552966237068176,0.676132500171661,0.525670230388641,0.634562492370605,0.859039425849914,0.281472116708755
270.929992675781,5.07800960540771,56.8181838989258,535.33349609375,143.027755737305,3.70109272003174,3.54041051864624,2.27333521842957,2.1124472618103,1.73310220241547,2.20336198806763,2.05834341049194,1.53286063671112,1.32700455188751,1.52797853946686,1.43835616111755,1.0792623758316,1.13015627861023,1.12341523170471,1.07355535030365,0.970920145511627,0.759978830814362,0.883961617946625,0.758428335189819,0.502872169017792,0.547169208526611,0.560620784759521,4.81252717971802,54.8707237243652,536.777465820313,157.811676025391,3.48918342590332,3.05828738212585,2.35063648223877,2.13692784309387,1.58650636672974,0.916132211685181,1.45001089572906,1.62778079509735,1.0963819026947,1.12706637382507,1.31324553489685,1.37002623081207,0.996650218963623,0.829819321632385,0.946431934833527,1.04988539218903,0.652230620384216,0.672369360923767,0.45272770524025,0.631699025630951,0.577839851379395,0.604003667831421,0.802774369716644,1.09289622306824,1.14949870109558,0.70117449760437,0.236257672309875,0.568763554096222,0.833829641342163,0.567255198955536,0.467107832431793,0.0702197849750519
272.959991455078,6.06253957748413,21.5123443603516,455.181488037109,266.907012939453,6.84114742279053,3.53277635574341,3.32314252853394,3.08166432380676,1.89540791511536,1.79257357120514,2.02946472167969,1.8849686384201,1.61458325386047,1.7631242275238,0.973066926002502,1.24866759777069,1.02207124233246,1.05396640300751,0.894528448581696,1.06670117378235,0.803568542003632,0.804564118385315,0.748353600502014,0.574288308620453,0.581001281738281,0.646070718765259,5.90750122070312,23.6302261352539,493.380706787109,255.290802001953,5.83576488494873,3.64268112182617,3.04540419578552,3.31400179862976,1.68562996387482,1.58175158500671,2.67611742019653,1.49068319797516,1.21297883987427,1.7414379119873,1.17905211448669,1.01307785511017,0.88431990146637,0.916875720024109,0.998949408531189,0.941873013973236,0.729467153549194,0.640040934085846,0.551613450050354,0.543773829936981,0.698584973812103,0.599161207675934,0.774868428707123,1.51371240615845,1.13737177848816,0.489451050758362,0.513529539108276,0.112733215093613,0.590493083000183,0.635458588600159,0.693107426166534,1.03469681739807
275,5.63547372817993,12.9107227325439,365.541717529297,418.865692138672,13.9303483963013,3.38813591003418,3.08145761489868,2.85834383964539,2.22772264480591,2.37892937660217,2.202956199646,2.84886026382446,1.68780696392059,1.57447695732117,1.12612617015839,1.25282657146454,1.05199038982391,0.903356909751892,1.13454353809357,1.09522068500519,0.857508063316345,0.937586188316345,0.639103293418884,0.540248513221741,0.627060055732727,0.606638371944428,5.46016216278076,11.5113496780396,365.659698486328,416.735198974609,12.4347658157349,4.43148040771484,3.2667179107666,2.03908228874207,1.94882225990295,1.98889517784119,2.11216330528259,1.9565737247467,1.40767180919647,1.88940668106079,1.42573988437653,1.08365190029144,0.960852146148682,0.842362582683563,1.03847551345825,0.960372030735016,0.642006993293762,0.721090018749237,0.676268041133881,0.483373939990997,0.467101544141769,0.551908433437347,0.696263372898102,1.19278371334076,0.892553508281708,0.336743950843811,0.393716305494308,0.168378502130508,0.543117523193359,0.580172598361969,-0.23737932741642,0.699496388435364
277.029998779297,5.54930639266968,7.20939111709595,237.363433837891,534.326843261719,40.8714637756348,4.34732866287231,3.38173866271973,2.74569988250732,2.65889000892639,2.40054869651794,2.60160303115845,1.73505282402039,1.57416343688965,1.65652048587799,1.51062595844269,1.15498006343842,1.04476404190063,1.06909644603729,1.09627795219421,0.889284133911133,0.713278591632843,0.546129047870636,0.764771163463593,0.718671083450317,0.645254969596863,0.320624947547913,5.19249296188354,6.5562686920166,250.774505615234,543.503479003906,47.8726692199707,4.33715677261353,2.51546669006348,2.36047863960266,2.26500558853149,2.37428975105286,2.14671683311462,1.78595960140228,1.4723801612854,1.5198210477829,1.49096941947937,1.45972073078156,1.05140841007233,1.07238602638245,0.941382110118866,0.781720757484436,0.895149290561676,0.753676474094391,0.885269165039063,0.430435717105865,0.636689186096191,0.570519208908081,0.806529641151428,1.23015987873077,1.06972467899323,0.57022887468338,0.396667987108231,0.164473697543144,0.0586441457271576,0.497371017932892,1.08695650100708,1.18955981731415
279.059997558594,3.56357574462891,7.207688331604,128.49397277832,651.556762695313,117.580116271973,4.67000532150269,2.79844379425049,2.65692448616028,2.84409189224243,2.04081630706787,2.29405641555786,2.15841794013977,1.53922545909882,1.64379060268402,1.47606432437897,1.47786223888397,1.38805723190308,1.10027766227722,0.995734930038452,1.03946673870087,0.816433191299438,0.624024927616119,0.832455992698669,0.750187575817108,0.697697579860687,0.673006594181061,5.39661455154419,7.0037350654602,139.786163330078,644.542602539063,119.504081726074,4.17572355270386,3.42350792884827,2.51386976242065,2.39214730262756,2.39071035385132,2.95726752281189,2.11386680603027,1.57025635242462,2.00957751274109,1.15356385707855,1.41238594055176,1.6365704536438,1.11467659473419,1.27347445487976,1.01462340354919,0.80893063545227,0.782905876636505,0.697037637233734,0.53793478012085,0.560609936714172,0.560042440891266,0.701238870620728,1.1492166519165,0.806879699230194,0.358422935009003,0.550055027008057,0.511276483535767,0.0586200840771198,-0.0714796259999275,0,0.353431820869446
281.070007324219,4.43655729293823,8.278564453125,68.5009994506836,679.124206542969,258.990631103516,5.12149333953857,4.03556776046753,2.24550914764404,2.87915992736816,2.75873613357544,1.99556541442871,2.05128192901611,1.73337531089783,2.09213781356812,0.919023811817169,1.0212607383728,0.89911413192749,1.16049671173096,1.21672999858856,0.994179308414459,0.644436359405518,0.720201671123505,0.76900178194046,0.62445867061615,0.51304966211319,0.633987486362457,4.08009052276611,7.52164840698242,73.3226776123047,669.368286132813,246.202224731445,3.90381908416748,3.26298236846924,3.29001474380493,2.90084385871887,1.90634071826935,3.19233846664429,2.25039029121399,1.39477217197418,1.40415632724762,1.46107280254364,1.03829479217529,0.916768491268158,0.934055685997009,1.13810086250305,1.11947059631348,0.957301080226898,0.552023470401764,0.626629233360291,0.525956988334656,0.499331563711166,0.3556187748909,0.497578471899033,0.841360092163086,0.737767159938812,0.407363086938858,0.0791859701275826,0.339924097061157,0.418335020542145,0.142369031906128,1.0115157365799,0.698177754878998
